To,Direction,Location,I/O Standard,Reserved
sw[0],Unknown,PIN_N25,,
sw[1],Unknown,PIN_N26,,
sw[2],Unknown,PIN_P25,,
sw[3],Unknown,PIN_AE14,,
sw[4],Unknown,PIN_AF14,,
sw[5],Unknown,PIN_AD13,,
sw[6],Unknown,PIN_AC13,,
sw[7],Unknown,PIN_C13,,
sw[8],Unknown,PIN_B13,,
sw[9],Unknown,PIN_A13,,
sw[10],Unknown,PIN_N1,,
sw[11],Unknown,PIN_P1,,
sw[12],Unknown,PIN_P2,,
sw[13],Unknown,PIN_T7,,
sw[14],Unknown,PIN_U3,,
sw[15],Unknown,PIN_U4,,
sw[16],Unknown,PIN_V1,,
sw[17],Unknown,PIN_V2,,
rst,Unknown,PIN_G26,,
ledr[0],Unknown,PIN_AE23,,
ledr[1],Unknown,PIN_AF23,,
ledr[2],Unknown,PIN_AB21,,
ledr[3],Unknown,PIN_AC22,,
ledr[4],Unknown,PIN_AD22,,
ledr[5],Unknown,PIN_AD23,,
ledr[6],Unknown,PIN_AD21,,
ledr[7],Unknown,PIN_AC21,,
clk,Unknown,PIN_N2,,
